Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000722109100001,10.1111/1467-8365.12603,n/a,In the Flesh: John Singleton Copley's Royall Portraits and Whiteness,"Elder, Nika",ART HISTORY,1304 Fine Art; 1301 Art Theory,Article,44,5,949-+,2021,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000722109100001,1.8,0.9200627207756042,1.1733103,2.78,5.4344,4.2614,Domestic - Single,95.0627,n/a
WOS:000562109100005,10.1080/00043079.2020.1711487,n/a,"In Transit: Edgar Degas and the Matter of Cotton, between New World and Old","Foa, Michelle",ART BULLETIN,1304 Fine Art; 1301 Art Theory,Article,102,3,54-76,2020,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000562109100005,3.368421,1.2079378366470337,1.4965278,1.48,4.1393,3.3411,Domestic - Single,92.9249,n/a
WOS:000787598400001,10.1111/1467-8365.12647,n/a,How to Teach Manet's Olympia after Transgender Studies,"Getsy, David J.",ART HISTORY,1304 Fine Art; 1301 Art Theory,Article,45,2,342-369,2022,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000787598400001,0.861111,0.4984939694404602,0.6384892,5.81,10.0302,7.831,Domestic - Single,97.8916,0.5
WOS:001145392700001,10.1093/jaac/kpad046,n/a,How Do You Solve a Problem like DALL-E 2?,"Wojtkiewicz, Kathryn",JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Article,81,4,454-467,2024,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001145392700001,0.735294,0.12784935534000397,0.14976959,6.8,39.1085,33.3846,Domestic - Single,99.7027,1.1
WOS:000758889500001,10.1093/jaac/kpac002,n/a,Guilty Pleasures Revisited,"Reid, Melinda",JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Article,80,2,189-200,2022,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000758889500001,2.243902,0.4984939694404602,0.6384892,2.23,10.0302,7.831,Domestic - Single,97.8916,0.8
WOS:000908048800008,10.56522/BMCHAP.0080010270002,n/a,"Guanacos engravings in the interfluvium of the Gallegos-Chico rivers (Santa Cruz, Argentina): its southernmost distribution in Patagonia","Manzi, Liliana M.; Charlin, Judith; Pallo, M. Cecilia; Iamarino, M. Laura; Cabrera, Rodrigo",BOLETIN DEL MUSEO CHILENO DE ARTE PRECOLOMBINO,1304 Fine Art; 1301 Art Theory; 0601 Archaeology,Article,27,1,131-149,2022,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000908048800008,1.111111,0.4984939694404602,0.8739496,4.5,10.0302,5.7212,Domestic - Multiple,97.8916,0.2
WOS:000779299700010,n/a,n/a,"FLUTE PLAYING IN THE ROCK ART OF THE KLEIN KAROO AND CEDERBERG, SOUTH AFRICA - A POTENTIAL LINK TO ANCIENT SOUND","Rust, Renee; Kumbani, Joshua; Rusch, Neil; Wurz, Sarah",ROCK ART RESEARCH,1304 Fine Art; 1301 Art Theory; 0601 Archaeology,Article,39,1,104-113,2022,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000779299700010,1.666667,0.4984939694404602,0.8679245,3.0,10.0302,5.7609,International - Bilateral,97.8916,0.8
WOS:000811567800001,10.1093/jaac/kpac018,n/a,Existential aesthetics,"Maes, Hans",JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Article,80,3,265-275,2022,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000811567800001,2.243902,0.4984939694404602,0.6384892,2.23,10.0302,7.831,Domestic - Single,97.8916,0.8
WOS:000617991200032,n/a,n/a,Endnote,"Hujar, Peter; Lebowitz, Fran",APERTURE,1304 Fine Art; 1301 Art Theory,Editorial Material,n/a,242,164-164,2021,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000617991200032,0.111111,0.12772585451602936,0.0,45.0,39.1463,0.0,n/a,99.5327,n/a
WOS:000608018800005,10.1093/aesthj/ayaa007,n/a,Edith Landmann-Kalischer on Aesthetic Demarcation and Normativity,"Matherne, Samantha",BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Article,60,3,315-334,2020,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000608018800005,4.88,1.2079378366470337,1.4965278,1.02,4.1393,3.3411,Domestic - Single,92.9249,n/a
