入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000880429800004,10.1016/j.landurbplan.2022.104548,n/a,"Strong relationships between urbanization, landscape structure, and ecosystem service multifunctionality in urban forest fragments","Mitchell, Matthew G. E.; Devisscher, Tahia",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0713 Ecology; 1305 Design; 0834 Landscape Architecture; 0833 Urban and Rural Planning; 0830 Environmental Science and Engineering,Article,228,n/a,n/a,2022,65,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000880429800004,24.723077,7.815669059753418,4.796907,2.63,8.3166,13.5504,Domestic - Single,98.3372,9.1
WOS:000681232100001,10.1080/02723638.2021.1959778,n/a,"Socio-economic segregation in European cities. A comparative study of Brussels, Copenhagen, Amsterdam, Oslo and Stockholm","Haandrikman, Karen; Costa, Rafael; Malmberg, Bo; Rogne, Adrian Farner; Sleutjes, Bart",URBAN GEOGRAPHY,0705 Geography; 0833 Urban and Rural Planning,Article,44,1,1-36,2021,65,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000681232100001,13.670213,9.862810134887695,27.11437,4.75,6.5904,2.3973,International - Quadrilateral +,97.5255,3.563
WOS:000884294700002,10.1016/j.habitatint.2022.102672,n/a,"Residents' behavioral intention to participate in neighborhood micro-renewal based on an extended theory of planned behavior: A case study in Shanghai, China","Tang, Daizhong; Gong, Xueyang; Liu, Menglan",HABITAT INTERNATIONAL,0303 Sociology; 0833 Urban and Rural Planning; 0830 Environmental Science and Engineering,Article,129,n/a,n/a,2022,65,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000884294700002,20.241135,7.815669059753418,4.796907,3.21,8.3166,13.5504,Domestic - Single,98.3372,6.8
WOS:000677407100001,="10.1177/00420980211014810",MEDLINE:38602931,Repopulating density: COVID-19 and the politics of urban value,"McFarlane, Colin",URBAN STUDIES,0833 Urban and Rural Planning; 0830 Environmental Science and Engineering,Article,60,9,1548-1569,2021,65,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000677407100001,18.390533,9.862810134887695,6.2393794,3.53,6.5904,10.4177,Domestic - Single,97.5255,4.418
WOS:000714596500001,10.1002/aisy.202100116,n/a,Recent Advances in Field-Controlled Micro-Nano Manipulations and Micro-Nano Robots,"Chen, Yuanyuan; Chen, Dixiao; Liang, Shuzhang; Dai, Yuguo; Bai, Xue; Song, Bin; Zhang, Deyuan; Chen, Huawei; Feng, Lin",ADVANCED INTELLIGENT SYSTEMS,0303 Sociology; 1204 Public Administration; 0401 Education; 0701 Mathematics; 0709 Geology; 0705 Geography; 1202 Business Administration; 0819 Mining Engineering; 0833 Urban and Rural Planning; 0812 Computer Science and Technology; 1201 Management Science and Engineering; 0835 Software Engineering; 0802 Mechanical Engineering; 0811 Control Science and Engineering; 0816 Surveying and Mapping; 0830 Environmental Science and Engineering; 0805 Materials Science and Engineering; 0820 Oil and Natural Gas Engineering,Review,4,3,n/a,2021,65,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000714596500001,57.728814,33.301631927490234,29.835165,1.13,1.9519,2.1786,Domestic - Single,83.9674,7.298
WOS:000524972100022,10.1016/j.ufug.2020.126633,n/a,Quantifying carbon stocks in urban parks under cold climate conditions,"Linden, Leena; Riikonen, Anu; Setala, Heikki; Yli-Pelkonen, Vesa",URBAN FORESTRY & URBAN GREENING,0907 Forestry; 0909 Grassland Science; 0833 Urban and Rural Planning; 0830 Environmental Science and Engineering,Article,49,n/a,n/a,2020,65,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000524972100022,31.347015,10.212813377380371,7.3394113,2.07,6.3646,8.8563,Domestic - Single,97.2775,4.539
WOS:000564564800001,10.1002/sd.2119,n/a,Promoting effective construction and demolition waste management towards sustainable development: A case study of Hong Kong,"Wu, Zezhou; Yu, Ann T. W.; Poon, Chi Sun",SUSTAINABLE DEVELOPMENT,0303 Sociology; 0833 Urban and Rural Planning; 0830 Environmental Science and Engineering; 0820 Oil and Natural Gas Engineering,Article,28,6,1713-1724,2020,65,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000564564800001,62.821138,10.212813377380371,12.549621,1.03,6.3646,5.1794,Domestic - Multiple,97.2775,6.159
WOS:000618757100009,10.1016/j.techfore.2021.120572,MEDLINE:33518819,Professional football clubs and empirical evidence from the COVID-19 crisis: Time for sport entrepreneurship?,"Hammerschmidt, Jonas; Durst, Susanne; Kraus, Sascha; Puumalainen, Kaisu",TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,0833 Urban and Rural Planning; 1202 Business Administration,Article,165,n/a,n/a,2021,65,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000618757100009,50.704106,9.862810134887695,27.11437,1.28,6.5904,2.3973,International - Quadrilateral +,97.5255,10.884
WOS:000504102600007,="10.1177/0013124519842654",n/a,Meta-Analysis of Parental Involvement and Achievement in East Asian Countries,"Kim, Sung Won",EDUCATION AND URBAN SOCIETY,0401 Education; 0833 Urban and Rural Planning,Article,52,2,312-337,2020,65,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000504102600007,9.061538,10.212813377380371,7.3394113,7.17,6.3646,8.8563,Domestic - Single,97.2775,1.207
WOS:000593779600012,10.1016/j.futures.2020.102636,n/a,Management challenges for future digitalization of healthcare services,"Gjellebaek, Camilla; Svensson, Ann; Bjorkquist, Catharina; Fladeby, Nina; Grunden, Kerstin",FUTURES,0833 Urban and Rural Planning,Article,124,n/a,n/a,2020,65,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000593779600012,18.522727,10.212813377380371,15.129609,3.51,6.3646,4.2962,International - Bilateral,97.2775,3.073
