入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000517664900003,10.1016/j.autcon.2019.103002,n/a,Mineral-impregnated carbon fiber composites as novel reinforcement for concrete construction: Material and automation perspectives,"Mechtcherine, Viktor; Michel, Albert; Liebscher, Marco; Schneider, Kai; Grossmann, Christoph",AUTOMATION IN CONSTRUCTION,0814 Civil Engineering,Article,110,n/a,n/a,2020,93,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000517664900003,55.014793,20.24595069885254,19.262215,1.69,4.5935,4.8281,Domestic - Multiple,97.5887,7.7
WOS:000713240100001,10.1016/j.jobe.2021.102544,n/a,Machine learning-aided design and prediction of cementitious composites containing graphite and slag powder,"Sun, Junbo; Ma, Yongzhi; Li, Jianxin; Zhang, Junfei; Ren, Zhenhua; Wang, Xiangyu",JOURNAL OF BUILDING ENGINEERING,0814 Civil Engineering; 0837 Safety Science and Engineering,Article,43,n/a,n/a,2021,93,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000713240100001,24.466774,17.3494815826416,20.70859,3.8,5.3604,4.4909,International - Bilateral,98.4847,7.144
WOS:000727778500006,10.1016/j.scs.2021.103305,n/a,"Investigation of a green energy storage system based on liquid air energy storage (LAES) and high-temperature concentrated solar power (CSP): Energy, exergy, economic, and environmental (4E) assessments, along with a case study for San Diego, US","Nabat, Mohammad Hossein; Soltani, M.; Razmi, Amir Reza; Nathwani, Jatin; Dusseault, M. B.",SUSTAINABLE CITIES AND SOCIETY,0814 Civil Engineering; 0820 Oil and Natural Gas Engineering; 0830 Environmental Science and Engineering,Article,75,n/a,n/a,2021,93,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000727778500006,43.165727,17.3494815826416,20.70859,2.15,5.3604,4.4909,International - Bilateral,98.4847,10.696
WOS:000882300400002,10.1016/j.conbuildmat.2022.129195,n/a,Interfacial bond in concrete-to-concrete composites: A review,"Daneshvar, Dana; Behnood, Ali; Robisson, Agathe",CONSTRUCTION AND BUILDING MATERIALS,0814 Civil Engineering; 0805 Materials Science and Engineering,Review,359,n/a,n/a,2022,93,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000882300400002,52.763033,35.78649139404297,41.11388,1.76,2.5987,2.262,International - Bilateral,92.4689,7.4
WOS:000652943500001,10.1007/s12205-021-2263-3,n/a,Improvement of the Shearing Behaviour of Loess Using Recycled Straw Fiber Reinforcement,"Xue, Zhong-Fei; Cheng, Wen-Chieh; Wang, Lin; Song, Geyang",KSCE JOURNAL OF CIVIL ENGINEERING,0814 Civil Engineering,Article,25,9,3319-3335,2021,93,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000652943500001,7.978541,17.3494815826416,16.531834,11.66,5.3604,5.6255,Domestic - Multiple,98.4847,2.115
WOS:000504058400048,10.1016/j.scs.2019.101860,n/a,Implementation and visualization of artificial intelligent ventilation control system using fast prediction models and limited monitoring data,"Ren, Chen; Cao, Shi-Jie",SUSTAINABLE CITIES AND SOCIETY,0814 Civil Engineering; 0820 Oil and Natural Gas Engineering; 0830 Environmental Science and Engineering,Article,52,n/a,n/a,2020,93,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000504058400048,53.23696,20.24595069885254,19.262215,1.75,4.5935,4.8281,Domestic - Multiple,97.5887,7.587
WOS:001111395200001,10.1016/j.jobe.2023.108075,n/a,Hydration behavior and strength development of supersulfated cement prepared by calcined phosphogypsum and slaked lime,"Liao, Yishun; Yao, Jinxin; Deng, Fang; Li, Hao; Wang, Kejin; Tang, Shengwen",JOURNAL OF BUILDING ENGINEERING,0814 Civil Engineering; 0837 Safety Science and Engineering,Article,80,n/a,n/a,2023,93,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001111395200001,12.568732,8.419720649719238,9.642043,7.4,11.0455,9.6453,International - Bilateral,99.8548,6.7
WOS:000619166300004,10.1617/s11527-021-01632-x,n/a,Hardened properties and durability of large-scale 3D printed cement-based materials,"Zhang, Yu; Zhang, Yunsheng; Yang, Lin; Liu, Guojian; Chen, Yidong; Yu, Shiwei; Du, Hongjian",MATERIALS AND STRUCTURES,0814 Civil Engineering; 0805 Materials Science and Engineering,Article,54,1,n/a,2021,93,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000619166300004,12.599119,17.3494815826416,27.675734,7.38,5.3604,3.3603,International - Trilateral,98.4847,4.285
WOS:000545559400080,10.1016/j.conbuildmat.2020.119596,n/a,Gamma ray and neutron shielding characteristics of polypropylene fiber-reinforced heavyweight concrete exposed to high temperatures,"Demir, I; Gumus, M.; Gokce, H. S.",CONSTRUCTION AND BUILDING MATERIALS,0814 Civil Engineering; 0805 Materials Science and Engineering,Article,257,n/a,n/a,2020,93,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000545559400080,38.00552,20.24595069885254,19.262215,2.45,4.5935,4.8281,Domestic - Multiple,97.5887,6.141
WOS:000537462900012,10.1016/j.scs.2020.102139,n/a,Fog computing for sustainable smart cities in the IoT era: Caching techniques and enabling technologies - an overview,"Zahmatkesh, Hadi; Al-Turjman, Fadi",SUSTAINABLE CITIES AND SOCIETY,0814 Civil Engineering; 0820 Oil and Natural Gas Engineering; 0830 Environmental Science and Engineering,Article,59,n/a,n/a,2020,93,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000537462900012,53.23696,20.24595069885254,25.307304,1.75,4.5935,3.6748,International - Bilateral,97.5887,7.587
