Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000550128400006,10.1016/j.landurbplan.2020.103845,n/a,Understanding the use of urban green spaces from user-generated geographic information,"Heikinheimo, Vuokko; Tenkanen, Henrikki; Bergroth, Claudia; Jarv, Olle; Hiippala, Tuomo; Toivonen, Tuuli",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0833 Urban and Rural Planning; 1305 Design; 0713 Ecology; 0834 Landscape Architecture; 0830 Environmental Science and Engineering,Article,201,n/a,n/a,2020,162,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000550128400006,49.366279,10.37753677368164,7.286685,3.28,15.6106,22.2323,Domestic - Single,99.4587,6.142
WOS:000496895900007,10.1016/j.landurbplan.2019.103654,n/a,"Trees, grass, or concrete? The effects of different types of environments on stress reduction","Huang, Qiuyun; Yang, Minyan; Jane, Hao-ann; Li, Shuhua; Bauer, Nicole",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0833 Urban and Rural Planning; 1305 Design; 0713 Ecology; 0834 Landscape Architecture; 0830 Environmental Science and Engineering,Article,193,n/a,n/a,2020,162,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000496895900007,49.366279,10.37753677368164,20.27317,3.28,15.6106,7.9909,International - Bilateral,99.4587,6.142
WOS:000500372000010,10.1016/j.landurbplan.2019.103703,n/a,Planning green infrastructure to mitigate urban surface water flooding risk - A methodology to identify priority areas applied in the city of Ghent,"Li, Luyuan; Uyttenhove, Pieter; Vaneetvelde, Veerle",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0833 Urban and Rural Planning; 1305 Design; 0713 Ecology; 0834 Landscape Architecture; 0830 Environmental Science and Engineering,Article,194,n/a,n/a,2020,162,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000500372000010,49.366279,10.37753677368164,7.286685,3.28,15.6106,22.2323,Domestic - Single,99.4587,6.142
WOS:000582429500002,10.1016/j.landurbplan.2020.103921,n/a,Remote sensing in urban planning: Contributions towards ecologically sound policies?,"Wellmann, Thilo; Lausch, Angela; Andersson, Erik; Knapp, Sonja; Cortinovis, Chiara; Jache, Jessica; Scheuer, Sebastian; Kremer, Peleg; Mascarenhas, Andre; Kraemer, Roland; Haase, Annegret; Schug, Franz; Haase, Dagmar",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0833 Urban and Rural Planning; 1305 Design; 0713 Ecology; 0834 Landscape Architecture; 0830 Environmental Science and Engineering,Article,204,n/a,n/a,2020,151,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000582429500002,49.366279,10.37753677368164,29.833334,3.06,14.5507,5.0615,International - Quadrilateral +,99.3911,6.142
WOS:000709927500001,10.1016/j.landurbplan.2021.104258,n/a,Spatial correlation between the changes of ecosystem service supply and demand: An ecological zoning approach,"Xu, Zihan; Peng, Jian; Dong, Jianquan; Liu, Yanxu; Liu, Qianyuan; Lyu, Danna; Qiao, Ruilin; Zhang, Zimo",LANDSCAPE AND URBAN PLANNING,0705 Geography; 1305 Design; 0834 Landscape Architecture; 0713 Ecology; 0830 Environmental Science and Engineering; 0833 Urban and Rural Planning,Article,217,n/a,n/a,2022,150,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000709927500001,24.723077,6.8125,9.160919,6.07,22.0183,16.3739,Domestic - Multiple,99.9298,9.1
WOS:000528059000003,10.1016/j.landurbplan.2020.103775,n/a,A review of green infrastructure research in Europe: Challenges and opportunities,"Chatzimentor, Anastasia; Apostolopoulou, Evangelia; Mazaris, Antonios D.",LANDSCAPE AND URBAN PLANNING,0833 Urban and Rural Planning; 1305 Design; 0834 Landscape Architecture; 0705 Geography; 0713 Ecology; 0830 Environmental Science and Engineering,Review,198,n/a,n/a,2020,150,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000528059000003,93.428571,31.387096405029297,47.375,1.61,4.779,3.1662,International - Bilateral,96.7742,6.142
WOS:000709927500007,10.1016/j.landurbplan.2021.104233,n/a,"Where greenspace matters most: A systematic review of urbanicity, greenspace, and physical health","Browning, Matthew H. E. M.; Rigolon, Alessandro; McAnirlin, Olivia; Yoon, Hyunseo (Violet)",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0713 Ecology; 1305 Design; 0834 Landscape Architecture; 0833 Urban and Rural Planning; 0830 Environmental Science and Engineering,Review,217,n/a,n/a,2022,147,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000709927500007,32.0,12.403509140014648,22.916666,4.59,11.8515,6.4145,Domestic - Multiple,98.2456,9.1
WOS:000519656600003,10.1016/j.landurbplan.2020.103748,n/a,The influence of tree traits on urban ground surface shade cooling,"Speak, Andrew; Montagnani, Leonardo; Wellstein, Camilla; Zerbe, Stefan",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0833 Urban and Rural Planning; 1305 Design; 0713 Ecology; 0834 Landscape Architecture; 0830 Environmental Science and Engineering,Article,197,n/a,n/a,2020,142,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000519656600003,49.366279,10.37753677368164,7.286685,2.88,13.6834,19.4876,Domestic - Single,99.2558,6.142
WOS:000568997000003,10.1016/j.landurbplan.2020.103907,n/a,Heatwave-induced human health risk assessment in megacities based on heat stress-social vulnerability-human exposure framework,"Dong, Jianquan; Peng, Jian; He, Xiaorong; Corcoran, Jonathan; Qiu, Sijing; Wang, Xiaoyu",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0833 Urban and Rural Planning; 1305 Design; 0713 Ecology; 0834 Landscape Architecture; 0830 Environmental Science and Engineering,Article,203,n/a,n/a,2020,142,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000568997000003,49.366279,10.37753677368164,20.27317,2.88,13.6834,7.0043,International - Bilateral,99.2558,6.142
WOS:000528059400007,10.1016/j.landurbplan.2020.103815,n/a,Integrating spatial continuous wavelet transform and kernel density estimation to identify ecological corridors in megacities,"Dong, Jianquan; Peng, Jian; Liu, Yanxu; Qiu, Sijing; Han, Yinan",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0833 Urban and Rural Planning; 1305 Design; 0713 Ecology; 0834 Landscape Architecture; 0830 Environmental Science and Engineering,Article,199,n/a,n/a,2020,141,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000528059400007,49.366279,10.37753677368164,11.716374,2.86,13.587,12.0344,Domestic - Multiple,99.1881,6.142
