Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000636947600001,10.1038/s41586-021-03406-5,MEDLINE:33820983,Pseudo-halide anion engineering for α-FAPbI3 perovskite solar cells,"Jeong, Jaeki; Kim, Minjin; Seo, Jongdeuk; Lu, Haizhou; Ahlawat, Paramvir; Mishra, Aditya; Yang, Yingguo; Hope, Michael A.; Eickemeyer, Felix T.; Kim, Maengsuk; Yoon, Yung Jin; Choi, In Woo; Darwich, Barbara Primera; Choi, Seung Ju; Jo, Yimhyun; Lee, Jun Hee; Walker, Bright; Zakeeruddin, Shaik M.; Emsley, Lyndon; Rothlisberger, Ursula; Hagfeldt, Anders; Kim, Dong Suk; Graetzel, Michael; Kim, Jin Young",NATURE,1400 Cross-field,Article,592,7854,381-+,2021,2585,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000636947600001,212.12109,23.760536193847656,49.044056,12.19,108.7938,52.7077,International - Quadrilateral +,99.9947,69.504
WOS:000621583600010,10.1038/s41586-021-03285-w,MEDLINE:33627807,Efficient perovskite solar cells via improved carrier management,"Yoo, Jason J.; Seo, Gabkyung; Chua, Matthew R.; Park, Tae Gwan; Lu, Yongli; Rotermund, Fabian; Kim, Young-Ki; Moon, Chan Su; Jeon, Nam Joong; Correa-Baena, Juan-Pablo; Bulovic, Vladimir; Shin, Seong Sik; Bawendi, Moungi G.; Seo, Jangwon",NATURE,1400 Cross-field,Article,590,7847,n/a,2021,2440,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000621583600010,212.12109,23.760536193847656,29.273632,11.5,102.6913,83.3515,International - Bilateral,99.9933,69.504
WOS:000556239300001,10.1038/s41586-020-2405-7,MEDLINE:32512579,Estimating the effects of non-pharmaceutical interventions on COVID-19 in Europe,"Flaxman, Seth; Mishra, Swapnil; Gandy, Axel; Unwin, H. Juliette T.; Mellan, Thomas A.; Coupland, Helen; Whittaker, Charles; Zhu, Harrison; Berah, Tresnia; Eaton, Jeffrey W.; Monod, Melodie; Ghani, Azra C.; Donnelly, Christl A.; Riley, Steven; Vollmer, Michaela A. C.; Ferguson, Neil M.; Okell, Lucy C.; Bhatt, Samir",NATURE,1400 Cross-field,Article,584,7820,257-+,2020,2379,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000556239300001,277.07567,29.82299041748047,26.75508,8.59,79.7707,88.9177,Domestic - Multiple,99.9884,49.962
WOS:000528513300038,10.1126/science.aba9757,n/a,The effect of travel restrictions on the spread of the 2019 novel coronavirus (COVID-19) outbreak,"Chinazzi, Matteo; Davis, Jessica T.; Ajelli, Marco; Gioannini, Corrado; Litvinova, Maria; Merler, Stefano; Pastore y Piontti, Ana; Mu, Kunpeng; Rossi, Luca; Sun, Kaiyuan; Viboud, Cecile; Xiong, Xinyue; Yu, Hongjie; Halloran, M. Elizabeth; Longini, Ira M., Jr.; Vespignani, Alessandro",SCIENCE,1400 Cross-field,Article,368,6489,395-+,2020,2342,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000528513300038,269.091153,29.82299041748047,43.26985,8.7,78.53,54.1254,International - Trilateral,99.9861,47.728
WOS:000579136000016,10.1016/j.heliyon.2020.e04691,MEDLINE:32964150,Heavy metal pollution in the environment and their toxicological effects on humans,"Briffa, Jessica; Sinagra, Emmanuel; Blundell, Renald",HELIYON,1400 Cross-field,Review,6,9,n/a,2020,2307,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000579136000016,61.042328,61.64285659790039,54.15445,37.79,37.4253,42.6004,Domestic - Multiple,99.9084,n/a
WOS:000662088000034,10.1126/science.abf1581,MEDLINE:34112665,The world of two-dimensional carbides and nitrides (MXenes),"Mohammadi, Armin Vahid; Rosen, Johanna; Gogotsi, Yury",SCIENCE,1400 Cross-field,Review,372,6547,1165-+,2021,2177,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000662088000034,256.652778,40.54041290283203,48.271225,8.48,53.6995,45.0993,International - Bilateral,99.9522,63.832
WOS:000531178400040,10.1126/science.abb3221,n/a,Substantial undocumented infection facilitates the rapid dissemination of novel coronavirus (SARS-CoV-2),"Li, Ruiyun; Pei, Sen; Chen, Bin; Song, Yimeng; Zhang, Tao; Yang, Wan; Shaman, Jeffrey",SCIENCE,1400 Cross-field,Article,368,6490,489-+,2020,2165,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000531178400040,269.091153,29.82299041748047,43.26985,8.05,72.595,50.0348,International - Trilateral,99.9838,47.728
WOS:000928299100001,10.1038/s41586-022-05473-8,MEDLINE:36653562,FinnGen provides genetic insights from a well-phenotyped isolated population,"Kurki, Mitja, I; Karjalainen, Juha; Palta, Priit; Sipila, Timo P.; Kristiansson, Kati; Donner, Kati M.; Reeve, Mary P.; Laivuori, Hannele; Aavikko, Mervi; Kaunisto, Mari A.; Loukola, Anu; Lahtela, Elisa; Mattsson, Hannele; Laiho, Paivi; Parolo, Pietro Della Briotta; Lehisto, Arto A.; Kanai, Masahiro; Mars, Nina; Ramo, Joel; Kiiskinen, Tuomo; Heyne, Henrike O.; Veerapen, Kumar; Rueger, Sina; Lemmela, Susanna; Zhou, Wei; Ruotsalainen, Sanni; Parn, Kalle; Hiekkalinna, Tero; Koskelainen, Sami; Paajanen, Teemu; Llorens, Vincent; Gracia-Tabuenca, Javier; Siirtola, Harri; Reis, Kadri; Elnahas, Abdelrahman G.; Sun, Benjamin; Foley, Christopher N.; Aalto-Setala, Katriina; Alasoo, Kaur; Arvas, Mikko; Auro, Kirsi; Biswas, Shameek; Bizaki-Vallaskangas, Argyro; Carpen, Olli; Chen, Chia-Yen; Dada, Oluwaseun A.; Ding, Zhihao; Ehm, Margaret G.; Eklund, Kari; Farkkila, Martti; Finucane, Hilary; Ganna, Andrea; Ghazal, Awaisa; Graham, Robert R.; Green, Eric M.; Hakanen, Antti; Hautalahti, Marco; Hedman, Asa K.; Hiltunen, Mikko; Hinttala, Reetta; Hovatta, Iiris; Hu, Xinli; Huertas-Vazquez, Adriana; Huilaja, Laura; Hunkapiller, Julie; Jacob, Howard; Jensen, Jan-Nygaard; Joensuu, Heikki; John, Sally; Julkunen, Valtteri; Jung, Marc; Junttila, Juhani; Kaarniranta, Kai; Kahonen, Mika; Kajanne, Risto; Kallio, Lila; Kalviainen, Reetta; Kaprio, Jaakko; Kerimov, Nurlan; Kettunen, Johannes; Kilpelainen, Elina; Kilpi, Terhi; Klinger, Katherine; Kosma, Veli-Matti; Kuopio, Teijo; Kurra, Venla; Laisk, Triin; Laukkanen, Jari; Lawless, Nathan; Liu, Aoxing; Longerich, Simonne; Magi, Reedik; Makela, Johanna; Makitie, Antti; Malarstig, Anders; Mannermaa, Arto; Maranville, Joseph; Matakidou, Athena; Meretoja, Tuomo; Mozaffari, Sahar, V; Niemi, Mari E. K.; Niemi, Marianna; Niiranen, Teemu; Okafo, George; Ollila, Hanna M.; Palomaki, Antti; Palotie, Tuula; Partanen, Jukka; Paul, Dirk S.; Pelkonen, Margit; Pendergrass, Rion K.; Petrovski, Slave; Pitkaranta, Anne; Platt, Adam; Pulford, David; Punkka, Eero; Pussinen, Pirkko; Raghavan, Neha; Rahimov, Fedik; Rajpal, Deepak; Renaud, Nicole A.; Riley-Gillis, Bridget; Rodosthenous, Rodosthenis; Saarentaus, Elmo; Salminen, Aino; Salminen, Eveliina; Salomaa, Veikko; Schleutker, Johanna; Serpi, Raisa; Shen, Huei-yi; Siegel, Richard; Silander, Kaisa; Siltanen, Sanna; Soini, Sirpa; Soininen, Hilkka; Sul, Jae Hoon; Tachmazidou, Ioanna; Tasanen, Kaisa; Tienari, Pentti; Toppila-Salmi, Sanna; Tukiainen, Taru; Tuomi, Tiinamaija; Turunen, Joni A.; Ulirsch, Jacob C.; Vaura, Felix; Virolainen, Petri; Waring, Jeffrey; Waterworth, Dawn; Yang, Robert; Nelis, Mari; Reigo, Anu; Metspalu, Andres; Milani, Lili; Esko, Tonu; Fox, Caroline; Havulinna, Aki S.; Perola, Markus; Ripatti, Samuli; Jalanko, Anu; Laitinen, Tarja; Makela, Tomi P.; Plenge, Robert; McCarthy, Mark; Runz, Heiko; Daly, Mark J.; Palotie, Aarno",NATURE,1400 Cross-field,Article,613,7944,508-+,2023,2125,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000928299100001,83.372807,9.924910545349121,20.614777,25.49,214.1077,103.0814,International - Quadrilateral +,99.9987,50.5
WOS:000654118600055,10.1038/s41586-019-1923-7,MEDLINE:31942072,Improved protein structure prediction using potentials from deep learning,"Senior, Andrew W.; Evans, Richard; Jumper, John; Kirkpatrick, James; Sifre, Laurent; Green, Tim; Qin, Chongli; Zidek, Augustin; Nelson, Alexander W. R.; Bridgland, Alex; Penedones, Hugo; Petersen, Stig; Simonyan, Karen; Crossan, Steve; Kohli, Pushmeet; Jones, David T.; Silver, David; Kavukcuoglu, Koray; Hassabis, Demis",NATURE,1400 Cross-field,Article,577,7792,706-+,2020,1993,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000654118600055,277.07567,29.82299041748047,26.75508,7.19,66.8276,74.4905,Domestic - Multiple,99.9815,49.962
WOS:000615715300044,10.1126/science.abf4063,MEDLINE:33408181,Immunological memory to SARS-CoV-2 assessed for up to 8 months after infection,"Dan, Jennifer M.; Mateus, Jose; Kato, Yu; Hastie, Kathryn M.; Yu, Esther Dawen; Faliti, Caterina E.; Grifoni, Alba; Ramirez, Sydney, I; Haupt, Sonya; Frazier, April; Nakao, Catherine; Rayaprolu, Vamseedhar; Rawlings, Stephen A.; Peters, Bjoern; Krammer, Florian; Simon, Viviana; Saphire, Erica Ollmann; Smith, Davey M.; Weiskopf, Daniela; Sette, Alessandro; Crotty, Shane",SCIENCE,1400 Cross-field,Article,371,6529,587-+,2021,1975,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000615715300044,157.884097,23.760536193847656,20.752182,12.51,83.121,95.1707,Domestic - Multiple,99.992,63.832
