Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000766317000011,10.1037/aca0000346,n/a,Beyond the Big Personality Dimensions: Consistency and Specificity of Associations Between the Dark Triad Traits and Creativity,"Sordia, Natia; Jauk, Emanuel; Martskvishvili, Khatuna",PSYCHOLOGY OF AESTHETICS CREATIVITY AND THE ARTS,1301 Art Theory; 0402 Psychology,Article,16,1,30-43,2022,16,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000766317000011,8.098361,1.7202558517456055,4.3488374,1.98,9.3009,3.6791,International - Trilateral,97.7825,3.6
WOS:000583314700008,10.1080/17458927.2020.1814571,n/a,Beyond drone vision: the embodied telepresence of first-person-view drone flight,"Jablonowski, Maximilian",SENSES & SOCIETY,1301 Art Theory,Article,15,3,344-358,2020,16,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000583314700008,5.05,3.668192148208618,3.0760667,3.17,4.3618,5.2014,Domestic - Single,95.0114,n/a
WOS:000875488200001,10.1080/14626268.2022.2138452,n/a,Artificial everyday creativity: creative leaps with AI through critical making,"Reddy, Anuradha",DIGITAL CREATIVITY,1301 Art Theory,Article,33,4,295-313,2022,16,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000875488200001,4.0,1.7202558517456055,1.5335969,4.0,9.3009,10.433,Domestic - Single,97.7825,1.1
WOS:000545314900006,10.1016/j.culher.2019.11.003,n/a,Alkoxysilane-based sols for consolidation of carbonate stones: Proposal of methodology to support the design and development of new consolidants,"da Fonseca, Bruno Sena; Ferreira Pinto, Ana Paula; Picarra, Susana; Montemor, Maria Fatima",JOURNAL OF CULTURAL HERITAGE,1301 Art Theory; 0601 Archaeology; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Article,43,n/a,51-63,2020,16,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000545314900006,15.888889,3.668192148208618,7.131805,1.01,4.3618,2.2435,Domestic - Multiple,95.0114,2.955
WOS:000634590700001,10.1080/10632921.2021.1887032,n/a,A(I)rtist or Counterfeiter? Artificial Intelligence as (D)Evaluating Factor on the Art Market,"Fortuna, Pawel; Modlinski, Artur",JOURNAL OF ARTS MANAGEMENT LAW AND SOCIETY,1301 Art Theory,Article,51,3,188-201,2021,16,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000634590700001,2.851852,2.7879981994628906,5.8033333,5.61,5.7389,2.757,Domestic - Multiple,96.233,n/a
WOS:000821338000008,10.1016/j.culher.2022.02.006,n/a,"A first assessment of the biocidal efficacy of plant essential oils against lichens on stone cultural heritage, and the importance of evaluating suitable application protocols","Favero-Longo, Sergio E.; Tabasso, Marisa Laurenzi; Brigadeci, Francesco; Capua, Maria-Concetta; Morelli, Alessandra; Pastorello, Paolo; Sohrabi, Mohammad; Chaverdi, Alireaza Askari; Callieri, Pierfrancesco",JOURNAL OF CULTURAL HERITAGE,0601 Archaeology; 1301 Art Theory; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Article,55,n/a,68-77,2022,16,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000821338000008,9.037037,1.7202558517456055,3.5050504,1.77,9.3009,4.5648,International - Bilateral,97.7825,3.1
WOS:000661283100006,10.1080/10350330.2021.1930849,n/a,Women and fitness on Weibo: the neoliberalism solution to the obligations of Confucianism,"Bouvier, Gwen; Chen, Ariel",SOCIAL SEMIOTICS,1301 Art Theory; 0503 Journalism and Communication,Article,31,3,440-465,2021,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000661283100006,7.041667,2.7879981994628906,6.93617,2.13,5.3802,2.1626,International - Bilateral,95.7512,1.568
WOS:000777062600004,10.1162/leon_a_02092,n/a,Who (or What) Is an AI Artist?,"Browne, Kieran",LEONARDO,1304 Fine Art; 1301 Art Theory,Article,55,2,130-134,2022,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000777062600004,0.837209,1.7202558517456055,1.5335969,17.92,8.7196,9.7809,Domestic - Single,97.3987,0.3
WOS:000698923800001,10.1080/15710882.2021.1982989,n/a,Towards a radically inclusive design - indigenous story-telling as codesign methodology,"Barcham, Manuhuia",CODESIGN-INTERNATIONAL JOURNAL OF COCREATION IN DESIGN AND THE ARTS,1301 Art Theory; 1305 Design,Article,19,1,1-13,2021,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000698923800001,11.555556,2.7879981994628906,2.4669812,1.3,5.3802,6.0803,Domestic - Single,95.7512,n/a
WOS:000541267000001,10.1080/10350330.2020.1763657,n/a,Tough guys and little rocket men: @Realdonaldtrump's Twitter feed and the normalisation of banal masculinity,"Smith, Angela; Higgins, Michael",SOCIAL SEMIOTICS,1301 Art Theory; 0503 Journalism and Communication,Article,30,4,547-562,2020,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000541267000001,9.349398,3.668192148208618,3.0760667,1.6,4.0892,4.8764,Domestic - Single,94.3707,1.32
